Epoch,Train Loss,Train F1,Train Recall,Train Precision,Train Top1 Acc,Val Loss,Val F1,Val Recall,Val Precision,Val Top1 Acc
1,0.3970,0.8207,0.8207,0.8207,0.8207,0.3596,0.8463,0.8411,0.8669,0.8411
2,0.2228,0.9123,0.9123,0.9123,0.9123,0.3855,0.8534,0.8502,0.8617,0.8502
3,0.1584,0.9387,0.9387,0.9387,0.9387,0.4087,0.8511,0.8460,0.8725,0.8460
4,0.0897,0.9657,0.9657,0.9657,0.9657,0.4870,0.8705,0.8667,0.8856,0.8667
5,0.0672,0.9755,0.9755,0.9755,0.9755,0.5909,0.8709,0.8678,0.8810,0.8678
6,0.0554,0.9790,0.9790,0.9790,0.9790,0.6640,0.8642,0.8599,0.8815,0.8599
7,0.0714,0.9737,0.9737,0.9737,0.9737,0.4538,0.8737,0.8702,0.8864,0.8702
8,0.0314,0.9889,0.9889,0.9889,0.9889,0.8194,0.8460,0.8399,0.8775,0.8399
9,0.0739,0.9730,0.9730,0.9730,0.9730,0.5841,0.8627,0.8590,0.8752,0.8590
10,0.0996,0.9630,0.9630,0.9630,0.9630,0.6157,0.8764,0.8732,0.8870,0.8732
11,0.0322,0.9879,0.9879,0.9879,0.9879,0.6393,0.8672,0.8636,0.8801,0.8636
12,0.0441,0.9844,0.9844,0.9844,0.9844,0.6186,0.8700,0.8664,0.8823,0.8664
13,0.1305,0.9522,0.9522,0.9522,0.9522,0.5567,0.8495,0.8446,0.8690,0.8446
14,0.0518,0.9816,0.9816,0.9816,0.9816,0.7148,0.8506,0.8452,0.8754,0.8452
15,0.0275,0.9910,0.9910,0.9910,0.9910,0.7647,0.8587,0.8539,0.8801,0.8539
16,0.0769,0.9736,0.9736,0.9736,0.9736,0.5368,0.8811,0.8786,0.8886,0.8786
17,0.0282,0.9903,0.9903,0.9903,0.9903,0.7657,0.8555,0.8501,0.8815,0.8501
18,0.0156,0.9942,0.9942,0.9942,0.9942,0.7910,0.8714,0.8679,0.8836,0.8679
19,0.0078,0.9974,0.9974,0.9974,0.9974,0.9090,0.8711,0.8673,0.8858,0.8673
20,0.0121,0.9957,0.9957,0.9957,0.9957,0.8428,0.8628,0.8581,0.8834,0.8581
21,0.0145,0.9953,0.9953,0.9953,0.9953,0.8122,0.8750,0.8717,0.8866,0.8717
22,0.0439,0.9848,0.9848,0.9848,0.9848,0.6842,0.8729,0.8694,0.8854,0.8694
23,0.0093,0.9970,0.9970,0.9970,0.9970,0.7786,0.8742,0.8703,0.8904,0.8703
24,0.0094,0.9977,0.9977,0.9977,0.9977,0.6449,0.8788,0.8769,0.8830,0.8769
25,0.1096,0.9589,0.9589,0.9589,0.9589,0.6319,0.8521,0.8469,0.8744,0.8469
26,0.0675,0.9757,0.9757,0.9757,0.9757,0.7339,0.8602,0.8554,0.8812,0.8554
27,0.0174,0.9937,0.9937,0.9937,0.9937,0.9358,0.8643,0.8607,0.8761,0.8607
28,0.0772,0.9728,0.9728,0.9728,0.9728,0.5979,0.8740,0.8704,0.8868,0.8704
29,0.0936,0.9646,0.9646,0.9647,0.9646,0.7986,0.8513,0.8460,0.8751,0.8460
30,0.0222,0.9929,0.9929,0.9929,0.9929,0.8416,0.8653,0.8611,0.8815,0.8611
31,0.0199,0.9932,0.9932,0.9932,0.9932,0.7822,0.8749,0.8712,0.8897,0.8712
32,0.0122,0.9960,0.9960,0.9960,0.9960,0.8575,0.8623,0.8580,0.8793,0.8580
33,0.0824,0.9707,0.9707,0.9707,0.9707,1.2483,0.8200,0.8124,0.8597,0.8124
34,0.0867,0.9712,0.9712,0.9712,0.9712,0.7344,0.8567,0.8517,0.8790,0.8517
35,0.0183,0.9940,0.9940,0.9940,0.9940,0.7861,0.8658,0.8619,0.8800,0.8619
36,0.0772,0.9733,0.9733,0.9733,0.9733,0.6635,0.8723,0.8697,0.8796,0.8697
37,0.0146,0.9952,0.9952,0.9952,0.9952,0.8569,0.8752,0.8720,0.8858,0.8720
38,0.0077,0.9975,0.9975,0.9975,0.9975,0.8583,0.8798,0.8772,0.8876,0.8772
39,0.0062,0.9982,0.9982,0.9982,0.9982,0.9140,0.8819,0.8789,0.8924,0.8789
40,0.0057,0.9979,0.9979,0.9979,0.9979,1.1044,0.8608,0.8563,0.8784,0.8563
41,0.1042,0.9640,0.9640,0.9640,0.9640,0.7182,0.8572,0.8523,0.8779,0.8523
42,0.0311,0.9892,0.9892,0.9892,0.9892,0.7937,0.8637,0.8594,0.8804,0.8594
43,0.0654,0.9760,0.9760,0.9761,0.9760,0.8266,0.8518,0.8467,0.8731,0.8467
44,0.0614,0.9809,0.9809,0.9809,0.9809,0.6518,0.8706,0.8673,0.8809,0.8673
45,0.0150,0.9950,0.9950,0.9950,0.9950,0.8053,0.8693,0.8656,0.8832,0.8656
46,0.0078,0.9973,0.9973,0.9973,0.9973,0.8304,0.8742,0.8706,0.8879,0.8706
47,0.0039,0.9987,0.9987,0.9987,0.9987,0.9681,0.8718,0.8684,0.8835,0.8684
48,0.0051,0.9983,0.9983,0.9983,0.9983,1.1302,0.8541,0.8491,0.8754,0.8491
49,0.0548,0.9813,0.9813,0.9813,0.9813,0.7419,0.8716,0.8683,0.8823,0.8683
50,0.0120,0.9960,0.9960,0.9960,0.9960,0.9035,0.8553,0.8501,0.8788,0.8501
51,0.0586,0.9784,0.9784,0.9784,0.9784,0.7086,0.8668,0.8638,0.8752,0.8638
52,0.1179,0.9566,0.9566,0.9566,0.9566,0.4827,0.8809,0.8784,0.8877,0.8784
53,0.0223,0.9928,0.9928,0.9928,0.9928,0.6379,0.8802,0.8779,0.8865,0.8779
54,0.0501,0.9820,0.9820,0.9820,0.9820,0.8169,0.8488,0.8431,0.8765,0.8431
55,0.0321,0.9897,0.9897,0.9897,0.9897,0.7090,0.8651,0.8609,0.8818,0.8609
56,0.0308,0.9888,0.9888,0.9888,0.9888,0.6947,0.8727,0.8691,0.8863,0.8691
57,0.0074,0.9977,0.9977,0.9977,0.9977,0.7867,0.8720,0.8680,0.8886,0.8680
58,0.0050,0.9983,0.9983,0.9983,0.9983,0.7888,0.8768,0.8737,0.8871,0.8737
59,0.0026,0.9990,0.9990,0.9990,0.9990,0.9042,0.8746,0.8710,0.8880,0.8710
60,0.0032,0.9989,0.9989,0.9989,0.9989,1.0484,0.8610,0.8563,0.8815,0.8563
61,0.0026,0.9990,0.9990,0.9990,0.9990,0.9835,0.8717,0.8679,0.8862,0.8679
62,0.0030,0.9989,0.9989,0.9989,0.9989,0.8605,0.8850,0.8826,0.8924,0.8826
63,0.0053,0.9984,0.9984,0.9984,0.9984,1.1256,0.8575,0.8523,0.8819,0.8523
64,0.0087,0.9970,0.9970,0.9970,0.9970,1.2298,0.8431,0.8370,0.8737,0.8370
65,0.0676,0.9762,0.9762,0.9762,0.9762,0.7878,0.8523,0.8469,0.8773,0.8469
66,0.0088,0.9971,0.9971,0.9971,0.9971,0.8059,0.8708,0.8671,0.8846,0.8671
67,0.0067,0.9978,0.9978,0.9978,0.9978,0.8710,0.8783,0.8753,0.8882,0.8753
68,0.0202,0.9938,0.9938,0.9938,0.9938,0.6580,0.8805,0.8781,0.8872,0.8781
69,0.0052,0.9986,0.9986,0.9986,0.9986,0.9723,0.8551,0.8501,0.8763,0.8501
70,0.0175,0.9946,0.9946,0.9946,0.9946,0.8401,0.8709,0.8674,0.8824,0.8674
71,0.0043,0.9988,0.9988,0.9988,0.9988,0.9256,0.8726,0.8689,0.8865,0.8689
72,0.0025,0.9992,0.9992,0.9992,0.9992,1.0276,0.8707,0.8669,0.8855,0.8669
73,0.0062,0.9980,0.9980,0.9980,0.9980,0.9770,0.8739,0.8706,0.8854,0.8706
