Epoch,Train Loss,Train F1,Train Recall,Train Precision,Train Top1 Acc,Val Loss,Val F1,Val Recall,Val Precision,Val Top1 Acc
1,0.2237,0.7582,0.7582,0.7582,0.7582,0.2179,0.7686,0.7630,0.7797,0.7630
2,0.1860,0.7964,0.7965,0.7966,0.7965,0.2476,0.7392,0.7274,0.8096,0.7274
3,0.1680,0.8207,0.8207,0.8209,0.8207,0.3076,0.6717,0.6598,0.7936,0.6598
4,0.1573,0.8307,0.8307,0.8308,0.8307,0.1664,0.8191,0.8166,0.8234,0.8166
5,0.1443,0.8475,0.8475,0.8475,0.8475,0.1777,0.8143,0.8119,0.8182,0.8119
6,0.1431,0.8446,0.8447,0.8449,0.8447,0.2761,0.7066,0.6943,0.8045,0.6943
7,0.1355,0.8546,0.8546,0.8547,0.8546,0.2677,0.7213,0.7092,0.8099,0.7092
8,0.1412,0.8481,0.8481,0.8481,0.8481,0.2129,0.7771,0.7673,0.8271,0.7673
9,0.1208,0.8692,0.8692,0.8693,0.8692,0.1712,0.8200,0.8142,0.8387,0.8142
10,0.1106,0.8825,0.8825,0.8826,0.8825,0.1527,0.8283,0.8316,0.8275,0.8316
11,0.1068,0.8848,0.8848,0.8848,0.8848,0.2443,0.7425,0.7310,0.8213,0.7310
12,0.1453,0.8445,0.8445,0.8445,0.8445,0.1603,0.8270,0.8253,0.8294,0.8253
13,0.1424,0.8430,0.8430,0.8430,0.8430,0.2433,0.7506,0.7394,0.8211,0.7394
14,0.1157,0.8764,0.8764,0.8765,0.8764,0.1396,0.8493,0.8489,0.8498,0.8489
15,0.1287,0.8611,0.8611,0.8611,0.8611,0.1832,0.8078,0.8020,0.8240,0.8020
16,0.1061,0.8860,0.8860,0.8860,0.8860,0.1468,0.8447,0.8429,0.8477,0.8429
17,0.0968,0.8959,0.8959,0.8960,0.8959,0.1464,0.8427,0.8392,0.8513,0.8392
18,0.1114,0.8784,0.8785,0.8786,0.8785,0.2532,0.7278,0.7163,0.8256,0.7163
19,0.1311,0.8617,0.8617,0.8624,0.8617,0.2000,0.7943,0.7856,0.8371,0.7856
20,0.1060,0.8859,0.8859,0.8861,0.8859,0.1816,0.8133,0.8068,0.8365,0.8068
21,0.0931,0.9008,0.9008,0.9009,0.9008,0.1423,0.8470,0.8473,0.8467,0.8473
22,0.0865,0.9083,0.9083,0.9083,0.9083,0.1507,0.8405,0.8374,0.8471,0.8374
23,0.0817,0.9149,0.9150,0.9150,0.9150,0.1839,0.8122,0.8044,0.8493,0.8044
24,0.0717,0.9248,0.9248,0.9248,0.9248,0.1353,0.8581,0.8577,0.8587,0.8577
25,0.0834,0.9129,0.9129,0.9131,0.9129,0.2030,0.7921,0.7832,0.8356,0.7832
26,0.0737,0.9217,0.9217,0.9217,0.9217,0.1516,0.8404,0.8358,0.8547,0.8358
27,0.0706,0.9263,0.9263,0.9263,0.9263,0.1563,0.8379,0.8342,0.8472,0.8342
